PLAYER_NAME,DEF Handoff PPP,DEF Handoff FREQ,DEF Isolation PPP,DEF Isolation FREQ,DEF OffScreen PPP,DEF OffScreen FREQ,DEF Postup PPP,DEF Postup FREQ,DEF PRBallHandler PPP,DEF PRBallHandler FREQ,DEF PRRollman PPP,DEF PRRollman FREQ,DEF Spotup PPP,DEF Spotup FREQ,FREQ 3 Pointers,PLUSMINUS 3 Pointers,FREQ Less Than 6Ft,PLUSMINUS Less Than 6Ft,FREQ Less Than 10Ft,PLUSMINUS Less Than 10Ft,PCT_LOOSE_BALLS_RECOVERED_DEF,REB_CONTEST_PCT,AVG_REB_DIST,DIST_MILES_DEF,AVG_SPEED_DEF,DEFLECTIONS Per36,Cluster,Archetype
Robert Williams III,0.214,0.018,0.896,0.146,0.7,0.025,0.71,0.039,0.474,0.024,0.595,0.047,0.809,0.286,0.377,-0.036,0.296,-0.112,0.399,-0.109,0.485,0.503,5.5,0.97,3.79,1.8364864864864865,4,Versatile Rim Protector
Josh Jackson,0.278,0.074,1.056,0.074,1.429,0.087,0.0,0.0,0.962,0.219,0.0,0.0,1.172,0.384,0.381,0.044,0.404,-0.011,0.474,-0.019,0.594,0.288,6.3,0.56,3.85,1.85521472392638,2,Off-Ball Chaser
Ish Smith,0.353,0.11,0.7,0.065,0.0,0.0,1.9,0.065,0.842,0.368,0.0,0.0,1.039,0.329,0.383,0.048,0.334,0.051,0.453,0.034,0.649,0.187,8.9,0.59,3.87,2.247398843930636,2,Off-Ball Chaser
Ish Smith,0.833,0.06,0.917,0.06,0.0,0.0,0.875,0.12,0.918,0.425,0.0,0.0,1.151,0.265,0.383,0.048,0.334,0.051,0.453,0.034,0.649,0.187,8.9,0.59,3.87,2.247398843930636,2,Off-Ball Chaser
Naz Reid,0.7,0.019,1.1,0.112,0.0,0.0,1.081,0.069,0.0,0.0,1.205,0.073,1.056,0.269,0.285,0.031,0.461,-0.105,0.548,-0.071,0.467,0.482,4.9,0.57,3.92,2.187341772151899,1,Paint Protector
Zeke Nnaji,0.636,0.044,0.75,0.159,0.0,0.0,0.818,0.044,0.771,0.139,1.5,0.048,1.026,0.302,0.385,0.041,0.414,0.044,0.498,0.04,0.375,0.469,5.2,0.61,4.07,1.6094117647058823,4,Versatile Rim Protector
Steven Adams,0.583,0.011,0.881,0.039,1.143,0.013,1.108,0.034,0.0,0.0,0.987,0.073,0.915,0.163,0.228,-0.008,0.413,-0.04,0.519,-0.021,0.328,0.531,4.3,0.87,3.83,2.2038022813688216,1,Paint Protector
Daniel Gafford,0.583,0.015,1.128,0.05,0.0,0.0,1.116,0.088,0.0,0.0,1.25,0.041,0.856,0.159,0.206,0.055,0.463,-0.084,0.546,-0.051,0.4,0.496,4.0,0.7,4.01,2.113432835820895,1,Paint Protector
Nic Claxton,0.583,0.025,0.928,0.173,0.0,0.0,0.96,0.052,1.0,0.048,1.188,0.033,1.173,0.204,0.386,0.02,0.335,-0.108,0.434,-0.076,0.353,0.447,4.7,0.75,3.99,1.965217391304348,4,Versatile Rim Protector
Donte DiVincenzo,0.944,0.073,0.0,0.0,0.632,0.077,0.0,0.0,0.929,0.341,0.0,0.0,1.086,0.378,0.432,0.045,0.379,0.006,0.432,0.037,0.533,0.235,7.3,0.84,3.88,3.449372384937239,2,Off-Ball Chaser
