PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,MIN,DRIVE_PASSES_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ,Cluster,Archetype
Jarrett Allen,2021-22,1.342,0.298,56,0.0,0.0,1.263,0.025,0.0,0.0,1.056,0.143,0.0,0.0,1.276,0.194,1.241,0.155,0.931,0.039,1.58,0.067,32.3,0.274,0.2,0.177,0.2481203007518796,0.7052631578947368,0.2421052631578947,0.0526315789473684,0.0206185567010309,0.0827067669172932,0.0103092783505154,0.0721649484536082,4,Interior Big
Rudy Gobert,2021-22,1.357,0.249,66,0.0,0.0,0.0,0.0,0.0,0.0,1.061,0.059,0.0,0.0,1.32,0.271,1.313,0.212,0.0,0.0,1.5,0.072,32.1,0.105,0.1,0.166,0.1382113821138211,0.8815789473684211,0.1184210526315789,0.0,0.0129870129870129,0.024390243902439,0.0129870129870129,0.0129870129870129,4,Interior Big
Robert Williams III,2021-22,1.528,0.38,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.152,1.241,0.281,0.0,0.0,1.333,0.076,29.6,0.8,0.0,0.112,0.4545454545454545,0.8524590163934426,0.1147540983606557,0.0327868852459016,0.0,0.0129870129870129,0.0,0.0166666666666666,4,Interior Big
Evan Mobley,2021-22,1.274,0.194,69,0.0,0.0,0.909,0.103,0.0,0.0,0.967,0.141,0.714,0.02,0.927,0.154,1.103,0.081,0.646,0.15,1.144,0.09,33.8,0.254,1.3,0.201,0.3441558441558441,0.4579439252336449,0.3551401869158878,0.1869158878504673,0.1083333333333333,0.2272727272727272,0.175,0.1583333333333333,1,Versatile Big Creator
Clint Capela,2021-22,1.283,0.265,74,0.0,0.0,0.0,0.0,0.0,0.0,0.818,0.03,0.0,0.0,1.368,0.263,0.83,0.277,0.0,0.0,1.348,0.096,27.6,0.059,0.0,0.149,0.21875,0.8170731707317074,0.1707317073170731,0.0121951219512195,0.0,0.0208333333333333,0.0,0.0,4,Interior Big
Dwight Powell,2021-22,1.516,0.288,82,0.0,0.0,0.0,0.0,0.0,0.0,1.389,0.033,0.0,0.0,1.419,0.289,1.29,0.112,0.804,0.083,1.703,0.067,21.9,0.349,0.5,0.136,0.2794117647058823,0.8444444444444444,0.1111111111111111,0.0444444444444444,0.1020408163265306,0.0735294117647058,0.0204081632653061,0.1020408163265306,4,Interior Big
Jakob Poeltl,2021-22,1.275,0.221,68,0.0,0.0,0.667,0.021,0.0,0.0,0.941,0.119,0.0,0.0,1.157,0.297,1.144,0.179,0.95,0.023,1.233,0.035,29.0,0.354,0.0,0.182,0.3730158730158729,0.5360824742268042,0.422680412371134,0.0412371134020618,0.0,0.0793650793650793,0.0408163265306122,0.1326530612244898,4,Interior Big
Kevon Looney,2021-22,1.267,0.379,82,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,0.0,0.0,0.95,0.121,1.03,0.204,0.5,0.069,1.433,0.061,21.1,0.298,0.0,0.12,0.6206896551724137,0.7045454545454545,0.159090909090909,0.1363636363636363,0.0,0.1206896551724137,0.0681818181818181,0.0909090909090909,4,Interior Big
Deandre Ayton,2021-22,1.382,0.2,58,0.0,0.0,0.0,0.0,0.0,0.0,1.043,0.219,0.0,0.0,1.249,0.298,1.125,0.123,0.941,0.02,1.527,0.065,29.5,0.111,0.3,0.217,0.1468531468531468,0.4102564102564102,0.4188034188034188,0.1709401709401709,0.0249999999999999,0.0349650349650349,0.0416666666666666,0.2166666666666666,4,Interior Big
Nikola Jokic,2021-22,1.404,0.094,74,0.0,0.0,1.071,0.047,1.094,0.06,1.17,0.216,1.044,0.038,1.067,0.169,1.307,0.092,1.049,0.105,1.158,0.089,33.5,0.331,3.9,0.309,0.5965665236051502,0.4782608695652173,0.3985507246376811,0.1231884057971014,0.2203389830508474,0.1802575107296137,0.0847457627118644,0.2259887005649717,1,Versatile Big Creator
