PLAYER_NAME,Season,DEF Handoff PPP,DEF Handoff FREQ,GP,DEF Isolation PPP,DEF Isolation FREQ,DEF OffScreen PPP,DEF OffScreen FREQ,DEF Postup PPP,DEF Postup FREQ,DEF PRBallHandler PPP,DEF PRBallHandler FREQ,DEF PRRollman PPP,DEF PRRollman FREQ,DEF Spotup PPP,DEF Spotup FREQ,FREQ 3 Pointers,PLUSMINUS 3 Pointers,FREQ Less Than 6Ft,PLUSMINUS Less Than 6Ft,FREQ Less Than 10Ft,PLUSMINUS Less Than 10Ft,MIN,DEFLECTIONS,PCT_LOOSE_BALLS_RECOVERED_DEF,REB_CONTEST_PCT,AVG_REB_DIST,DIST_MILES_DEF,AVG_SPEED_DEF,DEFLECTIONS Per36
Alex Caruso,2018-19,0.167,0.052,26,0.793,0.126,1.0,0.082,1.056,0.078,0.792,0.33,0.0,0.0,0.682,0.286,0.409,-0.078,0.317,0.021,0.404,0.041,21.2,1.88,0.211,0.269,10.2,0.76,3.89,3.192452830188679
Al Horford,2018-19,0.5,0.011,68,0.765,0.106,0.909,0.012,0.981,0.117,0.5,0.01,1.062,0.071,0.992,0.144,0.243,-0.031,0.427,-0.059,0.533,-0.042,29.0,1.38,0.684,0.384,6.4,0.96,3.64,1.713103448275862
Semi Ojeleye,2018-19,0.455,0.054,56,0.9,0.147,1.538,0.064,0.933,0.074,1.04,0.12,0.0,0.0,0.986,0.358,0.444,-0.032,0.356,0.001,0.449,0.013,10.6,0.21,0.529,0.395,8.3,0.38,3.9,0.7132075471698113
Thabo Sefolosha,2018-19,0.455,0.056,50,0.684,0.097,0.583,0.062,1.318,0.113,0.649,0.19,0.846,0.067,0.771,0.246,0.28,-0.081,0.485,-0.029,0.595,-0.042,12.2,1.26,0.714,0.205,6.2,0.42,3.9,3.7180327868852463
Iman Shumpert,2018-19,0.455,0.089,20,1.071,0.113,1.417,0.097,0.0,0.0,0.818,0.27,0.0,0.0,1.424,0.266,0.367,0.034,0.403,0.105,0.472,0.106,23.9,1.87,0.557,0.202,8.1,0.87,3.99,2.8167364016736403
Iman Shumpert,2018-19,1.289,0.098,42,0.923,0.067,1.023,0.111,1.032,0.08,0.908,0.36,0.0,0.0,1.114,0.227,0.367,0.034,0.403,0.105,0.472,0.106,23.9,1.87,0.557,0.202,8.1,0.87,3.99,2.8167364016736403
Wesley Johnson,2018-19,0.417,0.098,26,0.0,0.0,0.714,0.114,0.0,0.0,0.735,0.28,0.0,0.0,1.61,0.333,0.392,0.008,0.409,0.03,0.47,0.045,14.1,0.89,0.714,0.236,8.6,0.51,3.94,2.2723404255319153
Wesley Johnson,2018-19,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063,0.356,0.392,0.008,0.409,0.03,0.47,0.045,14.1,0.89,0.714,0.236,8.6,0.51,3.94,2.2723404255319153
Derrick Jones Jr.,2018-19,0.545,0.023,60,0.854,0.086,0.75,0.05,0.897,0.082,0.811,0.28,1.364,0.023,0.852,0.397,0.399,-0.032,0.332,-0.104,0.431,-0.082,19.2,1.42,0.489,0.429,6.7,0.69,4.07,2.6625
Dwight Powell,2018-19,0.462,0.016,77,0.778,0.1,1.125,0.02,0.974,0.14,0.875,0.04,0.929,0.034,1.101,0.207,0.307,-0.019,0.385,0.006,0.469,0.001,21.6,1.14,0.507,0.343,6.5,0.75,3.89,1.8999999999999997
Bruno Caboclo,2018-19,0.462,0.05,34,1.185,0.103,1.286,0.08,1.0,0.077,0.971,0.13,1.077,0.05,0.935,0.356,0.368,0.022,0.433,-0.072,0.471,-0.045,23.5,1.44,0.318,0.354,6.6,0.84,4.09,2.2059574468085104
Treveon Graham,2018-19,0.333,0.072,35,0.912,0.136,0.84,0.1,0.778,0.108,0.816,0.3,0.0,0.0,0.756,0.164,0.335,-0.038,0.327,-0.023,0.451,-0.017,20.4,0.54,0.645,0.299,6.7,0.74,4.08,0.9529411764705884
Nikola Mirotic,2018-19,0.636,0.029,32,0.927,0.143,1.438,0.042,1.0,0.119,0.958,0.06,0.871,0.081,1.2,0.299,0.306,0.01,0.421,-0.055,0.523,-0.039,27.1,1.33,0.455,0.319,5.0,1.0,3.92,1.766789667896679
Nikola Mirotic,2018-19,0.0,0.0,14,0.833,0.153,0.0,0.0,0.0,0.0,0.917,0.1,0.5,0.085,0.771,0.297,0.306,0.01,0.421,-0.055,0.523,-0.039,27.1,1.33,0.455,0.319,5.0,1.0,3.92,1.766789667896679
George Hill,2018-19,0.538,0.119,13,0.0,0.0,1.1,0.092,1.0,0.128,0.838,0.34,0.0,0.0,1.042,0.22,0.411,0.001,0.307,-0.008,0.395,0.02,21.7,1.35,0.545,0.25,8.5,0.77,3.97,2.2396313364055302
George Hill,2018-19,0.886,0.089,47,1.241,0.073,0.962,0.066,0.308,0.033,0.812,0.42,0.667,0.03,0.944,0.228,0.411,0.001,0.307,-0.008,0.395,0.02,21.7,1.35,0.545,0.25,8.5,0.77,3.97,2.2396313364055302
Svi Mykhailiuk,2018-19,0.438,0.11,39,0.714,0.097,0.7,0.069,0.0,0.0,0.839,0.21,0.0,0.0,1.038,0.359,0.372,-0.064,0.299,-0.003,0.378,0.013,10.5,0.55,0.455,0.194,10.8,0.39,3.99,1.8857142857142857
Dewayne Dedmon,2018-19,0.8,0.013,64,0.614,0.074,0.0,0.0,0.934,0.079,1.0,0.02,1.143,0.055,1.075,0.225,0.294,-0.017,0.383,-0.042,0.474,-0.017,25.1,2.16,0.479,0.406,5.2,0.86,3.82,3.09800796812749
Brook Lopez,2018-19,0.727,0.007,81,0.692,0.051,0.667,0.008,0.791,0.056,1.1,0.01,1.092,0.106,1.008,0.163,0.244,0.035,0.32,-0.105,0.428,-0.105,28.7,1.01,0.533,0.424,7.0,0.93,3.55,1.2668989547038327
Luol Deng,2018-19,0.667,0.087,22,0.75,0.116,1.313,0.116,0.875,0.116,0.929,0.1,0.0,0.0,0.675,0.29,0.434,-0.111,0.34,-0.084,0.409,-0.049,17.8,0.82,0.467,0.233,6.5,0.64,4.0,1.6584269662921347
Ersan Ilyasova,2018-19,0.615,0.022,67,0.694,0.082,0.944,0.03,0.722,0.09,1.0,0.07,1.362,0.097,1.045,0.186,0.271,0.006,0.391,-0.021,0.511,-0.028,18.4,1.22,0.633,0.437,5.4,0.65,3.87,2.3869565217391306
Montrezl Harrell,2018-19,0.615,0.01,82,0.874,0.069,0.0,0.0,0.957,0.093,1.318,0.02,0.866,0.053,0.966,0.14,0.251,-0.057,0.372,-0.038,0.5,-0.042,26.3,1.15,0.43,0.501,5.2,0.88,3.64,1.574144486692015
D.J. Wilson,2018-19,0.571,0.032,48,0.8,0.069,0.563,0.037,0.895,0.044,0.7,0.07,1.086,0.08,1.047,0.342,0.356,0.007,0.378,-0.088,0.459,-0.089,18.4,0.6,0.56,0.306,5.1,0.68,4.18,1.1739130434782608
Nik Stauskas,2018-19,0.421,0.097,44,0.833,0.062,0.885,0.133,1.0,0.051,1.06,0.34,0.0,0.0,1.3,0.256,0.412,0.081,0.302,-0.016,0.384,-0.005,14.9,0.44,0.385,0.15,7.5,0.5,3.93,1.0630872483221476
Nik Stauskas,2018-19,1.286,0.127,24,0.0,0.0,0.833,0.109,0.0,0.0,0.808,0.24,0.0,0.0,1.05,0.364,0.412,0.081,0.302,-0.016,0.384,-0.005,14.9,0.44,0.385,0.15,7.5,0.5,3.93,1.0630872483221476
Tyler Dorsey,2018-19,0.818,0.092,21,0.0,0.0,1.0,0.1,0.0,0.0,0.805,0.34,0.0,0.0,1.03,0.275,0.375,-0.018,0.397,0.055,0.478,0.065,14.5,0.65,0.516,0.195,7.9,0.54,4.12,1.6137931034482758
Mason Plumlee,2018-19,0.692,0.017,82,0.98,0.132,0.625,0.032,1.041,0.098,0.962,0.03,1.0,0.04,1.006,0.235,0.291,-0.014,0.435,-0.024,0.525,-0.022,21.1,1.6,0.42,0.391,4.9,0.72,3.86,2.7298578199052135
Jordan Bell,2018-19,0.6,0.041,68,0.766,0.175,0.0,0.0,1.083,0.066,1.158,0.05,1.0,0.03,1.067,0.246,0.255,0.015,0.492,-0.047,0.601,-0.023,11.6,0.72,0.5,0.44,5.5,0.4,3.92,2.2344827586206897
Julius Randle,2018-19,0.563,0.019,73,0.88,0.127,1.097,0.036,1.0,0.096,0.915,0.06,1.14,0.059,1.174,0.305,0.362,0.02,0.375,-0.045,0.459,-0.042,30.6,1.07,0.558,0.372,5.0,1.02,3.67,1.2588235294117647
Kelly Olynyk,2018-19,0.529,0.025,79,0.86,0.085,0.619,0.031,0.872,0.058,0.655,0.04,1.2,0.067,0.887,0.346,0.375,0.015,0.369,-0.035,0.45,-0.029,22.9,1.49,0.519,0.291,6.5,0.76,3.83,2.3423580786026204
Markieff Morris,2018-19,0.909,0.029,34,0.387,0.082,0.818,0.029,0.781,0.084,0.857,0.06,0.727,0.029,1.176,0.195,0.327,-0.017,0.384,-0.009,0.477,-0.031,21.9,1.14,0.5,0.385,6.0,0.73,3.61,1.873972602739726
Markieff Morris,2018-19,0.0,0.0,23,0.933,0.103,0.0,0.0,0.947,0.13,0.0,0.0,0.0,0.0,1.07,0.295,0.327,-0.017,0.384,-0.009,0.477,-0.031,21.9,1.14,0.5,0.385,6.0,0.73,3.61,1.873972602739726
Hamidou Diallo,2018-19,0.714,0.074,51,0.789,0.101,1.156,0.17,0.0,0.0,0.574,0.32,0.0,0.0,0.925,0.213,0.331,-0.04,0.388,0.017,0.469,0.058,10.3,0.49,0.667,0.381,7.2,0.4,4.23,1.7126213592233008
Trey Lyles,2018-19,0.667,0.037,64,1.125,0.118,0.667,0.029,0.886,0.086,0.952,0.05,0.7,0.049,0.907,0.396,0.342,0.006,0.402,-0.026,0.485,-0.035,17.5,0.55,0.688,0.325,5.7,0.57,3.73,1.1314285714285715
Jabari Parker,2018-19,0.625,0.042,39,0.689,0.118,0.65,0.052,0.8,0.079,0.911,0.12,1.6,0.039,1.021,0.38,0.388,0.025,0.375,0.005,0.46,0.008,26.9,1.03,0.615,0.34,6.2,0.96,3.83,1.3784386617100373
Jabari Parker,2018-19,1.0,0.049,25,0.842,0.084,0.909,0.049,1.158,0.084,0.833,0.08,0.846,0.058,1.024,0.367,0.388,0.025,0.375,0.005,0.46,0.008,26.9,1.03,0.615,0.34,6.2,0.96,3.83,1.3784386617100373
Delon Wright,2018-19,0.455,0.081,49,0.786,0.052,0.95,0.074,1.5,0.059,0.798,0.42,0.0,0.0,1.072,0.255,0.292,-0.001,0.447,0.036,0.529,0.031,22.6,2.19,0.657,0.248,7.6,0.83,4.14,3.488495575221239
Delon Wright,2018-19,0.783,0.08,26,1.0,0.062,0.647,0.059,0.0,0.0,0.967,0.43,0.0,0.0,0.977,0.301,0.292,-0.001,0.447,0.036,0.529,0.031,22.6,2.19,0.657,0.248,7.6,0.83,4.14,3.488495575221239
Bam Adebayo,2018-19,1.1,0.012,82,1.0,0.088,0.0,0.0,1.0,0.066,0.692,0.02,0.754,0.067,1.03,0.155,0.267,0.005,0.338,-0.046,0.443,-0.063,23.3,1.43,0.35,0.419,5.7,0.8,3.88,2.209442060085837
Jevon Carter,2018-19,1.0,0.053,39,1.111,0.129,0.8,0.072,0.688,0.077,1.037,0.39,0.0,0.0,1.391,0.22,0.455,0.055,0.254,-0.034,0.323,-0.046,14.8,1.26,0.704,0.152,11.9,0.55,4.23,3.0648648648648646
Jimmy Butler,2018-19,0.917,0.098,10,0.833,0.098,1.167,0.098,0.0,0.0,0.786,0.34,0.0,0.0,0.963,0.221,0.341,-0.017,0.397,0.0,0.482,-0.003,33.6,3.05,0.511,0.378,7.8,1.19,3.99,3.267857142857143
Jimmy Butler,2018-19,1.075,0.1,55,1.022,0.067,1.101,0.103,0.982,0.084,0.953,0.38,1.526,0.028,0.924,0.215,0.341,-0.017,0.397,0.0,0.482,-0.003,33.6,3.05,0.511,0.378,7.8,1.19,3.99,3.267857142857143
Shake Milton,2018-19,1.091,0.133,20,0.0,0.0,1.583,0.145,0.0,0.0,0.939,0.4,0.0,0.0,1.429,0.169,0.311,0.086,0.459,-0.119,0.541,-0.081,13.4,0.5,0.8,0.114,8.3,0.48,4.08,1.3432835820895521
Chandler Parsons,2018-19,0.923,0.107,26,0.0,0.0,1.364,0.091,0.0,0.0,0.929,0.23,0.0,0.0,0.864,0.364,0.46,-0.088,0.302,0.077,0.388,0.076,19.8,0.76,0.875,0.071,7.5,0.62,3.63,1.3818181818181818
Jeremy Lin,2018-19,0.923,0.068,23,1.091,0.057,0.0,0.0,0.786,0.073,0.975,0.41,0.0,0.0,0.909,0.286,0.325,0.017,0.403,0.012,0.488,0.033,19.4,1.0,0.606,0.196,9.2,0.71,3.97,1.8556701030927836
Jeremy Lin,2018-19,1.122,0.112,51,0.966,0.079,0.833,0.066,0.76,0.068,0.896,0.34,0.0,0.0,0.894,0.284,0.325,0.017,0.403,0.012,0.488,0.033,19.4,1.0,0.606,0.196,9.2,0.71,3.97,1.8556701030927836
