PLAYER_NAME,Season,Cut PPP,Cut FREQ,GP,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,Misc PPP,Misc FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,Total Poss,MIN,POTENTIAL_AST,DRIVE_PASSES_PCT,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ
Jarrett Allen,2021-22,1.342,0.298,56,0.0,0.0,1.263,0.025,0.561,0.076,0.0,0.0,1.056,0.143,0.0,0.0,1.276,0.194,1.241,0.155,0.931,0.039,1.58,0.067,13.3,32.3,3.3,0.274,0.5,0.378,0.2,0.177,0.24812030075187969,0.7052631578947368,0.2421052631578947,0.05263157894736842,0.02061855670103093,0.08270676691729323,0.010309278350515465,0.07216494845360825
Rudy Gobert,2021-22,1.357,0.249,66,0.0,0.0,0.0,0.0,0.604,0.122,0.0,0.0,1.061,0.059,0.0,0.0,1.32,0.271,1.313,0.212,0.0,0.0,1.5,0.072,12.299999999999999,32.1,1.7,0.105,0.0,0.143,0.1,0.166,0.13821138211382114,0.8815789473684211,0.11842105263157895,0.0,0.012987012987012988,0.024390243902439025,0.012987012987012988,0.012987012987012988
Robert Williams III,2021-22,1.528,0.38,61,0.0,0.0,0.0,0.0,0.19,0.089,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.152,1.241,0.281,0.0,0.0,1.333,0.076,7.7,29.6,3.5,0.8,0.0,0.0,0.0,0.112,0.45454545454545453,0.8524590163934426,0.11475409836065573,0.03278688524590164,0.0,0.012987012987012988,0.0,0.016666666666666666
Evan Mobley,2021-22,1.274,0.194,69,0.0,0.0,0.909,0.103,0.542,0.055,0.0,0.0,0.967,0.141,0.714,0.02,0.927,0.154,1.103,0.081,0.646,0.15,1.144,0.09,15.4,33.8,5.3,0.254,0.125,0.298,1.3,0.201,0.34415584415584416,0.4579439252336449,0.35514018691588783,0.1869158878504673,0.10833333333333334,0.22727272727272727,0.17500000000000002,0.15833333333333333
Clint Capela,2021-22,1.283,0.265,74,0.0,0.0,0.0,0.0,0.615,0.054,0.0,0.0,0.818,0.03,0.0,0.0,1.368,0.263,0.83,0.277,0.0,0.0,1.348,0.096,9.6,27.6,2.1,0.059,0.0,0.0,0.0,0.149,0.21875000000000003,0.8170731707317074,0.17073170731707318,0.012195121951219514,0.0,0.020833333333333336,0.0,0.0
Dwight Powell,2021-22,1.516,0.288,82,0.0,0.0,0.0,0.0,0.561,0.119,0.0,0.0,1.389,0.033,0.0,0.0,1.419,0.289,1.29,0.112,0.804,0.083,1.703,0.067,6.8,21.9,1.9,0.349,0.0,0.295,0.5,0.136,0.27941176470588236,0.8444444444444444,0.1111111111111111,0.044444444444444446,0.1020408163265306,0.07352941176470588,0.02040816326530612,0.1020408163265306
Jakob Poeltl,2021-22,1.275,0.221,68,0.0,0.0,0.667,0.021,0.43,0.101,0.0,0.0,0.941,0.119,0.0,0.0,1.157,0.297,1.144,0.179,0.95,0.023,1.233,0.035,12.600000000000003,29.0,4.7,0.354,1.0,0.523,0.0,0.182,0.3730158730158729,0.5360824742268042,0.422680412371134,0.04123711340206186,0.0,0.07936507936507935,0.04081632653061224,0.1326530612244898
Kevon Looney,2021-22,1.267,0.379,82,0.0,0.0,0.0,0.0,0.245,0.107,0.0,0.0,0.8,0.03,0.0,0.0,0.95,0.121,1.03,0.204,0.5,0.069,1.433,0.061,5.800000000000001,21.1,3.6,0.298,0.0,0.265,0.0,0.12,0.6206896551724137,0.7045454545454545,0.15909090909090906,0.13636363636363635,0.0,0.12068965517241377,0.06818181818181818,0.09090909090909091
Deandre Ayton,2021-22,1.382,0.2,58,0.0,0.0,0.0,0.0,0.417,0.057,0.0,0.0,1.043,0.219,0.0,0.0,1.249,0.298,1.125,0.123,0.941,0.02,1.527,0.065,14.300000000000002,29.5,2.1,0.111,0.0,0.537,0.3,0.217,0.14685314685314682,0.41025641025641024,0.41880341880341887,0.17094017094017094,0.024999999999999998,0.03496503496503496,0.041666666666666664,0.21666666666666667
Nikola Jokic,2021-22,1.404,0.094,74,0.0,0.0,1.071,0.047,0.638,0.086,1.094,0.06,1.17,0.216,1.044,0.038,1.067,0.169,1.307,0.092,1.049,0.105,1.158,0.089,23.3,33.5,13.9,0.331,0.324,0.394,3.9,0.309,0.5965665236051502,0.47826086956521735,0.39855072463768115,0.12318840579710144,0.22033898305084745,0.18025751072961374,0.08474576271186442,0.22598870056497175
