PLAYER_NAME,Season,DIST_MILES_DEF,AVG_SPEED_DEF
Aaron Gordon,2018-19,1.12,3.79
Aaron Holiday,2018-19,0.49,4.12
Abdel Nader,2018-19,0.45,4.27
Al Horford,2018-19,0.96,3.64
Al-Farouq Aminu,2018-19,0.96,3.93
Alan Williams,2018-19,0.18,3.71
Alec Burks,2018-19,0.74,4.05
Alex Abrines,2018-19,0.72,4.04
Alex Caruso,2018-19,0.76,3.89
Alex Len,2018-19,0.71,3.88
Alex Poythress,2018-19,0.55,4.05
Alfonzo McKinnie,2018-19,0.54,4.28
Alize Johnson,2018-19,0.18,4.26
Allen Crabbe,2018-19,0.9,3.88
Allonzo Trier,2018-19,0.76,3.82
Amile Jefferson,2018-19,0.21,4.3
Amir Johnson,2018-19,0.36,3.89
Andre Drummond,2018-19,1.1,3.88
Andre Iguodala,2018-19,0.82,3.77
Andre Ingram,2018-19,0.13,3.59
Andrew Bogut,2018-19,0.33,3.61
Andrew Harrison,2018-19,0.36,3.8
Andrew Wiggins,2018-19,1.17,3.78
Anfernee Simons,2018-19,0.24,4.12
Angel Delgado,2018-19,0.29,4.13
Ante Zizic,2018-19,0.61,3.92
Anthony Davis,2018-19,1.09,3.57
Anthony Tolliver,2018-19,0.56,3.82
Antonio Blakeney,2018-19,0.53,4.05
Aron Baynes,2018-19,0.56,3.86
Austin Rivers,2018-19,0.92,3.89
Avery Bradley,2018-19,1.13,4.23
BJ Johnson,2018-19,0.24,3.75
Bam Adebayo,2018-19,0.8,3.88
Ben McLemore,2018-19,0.34,4.48
Ben Simmons,2018-19,1.13,3.66
Billy Garrett,2018-19,0.5,3.51
Bismack Biyombo,2018-19,0.49,3.9
Blake Griffin,2018-19,0.99,3.42
Boban Marjanovic,2018-19,0.4,3.83
Bobby Portis,2018-19,0.9,3.79
Bogdan Bogdanovic,2018-19,0.98,3.81
Bojan Bogdanovic,2018-19,1.09,3.87
Bonzie Colson,2018-19,0.43,4.31
Brad Wanamaker,2018-19,0.35,3.97
Bradley Beal,2018-19,1.29,3.85
Brandon Goodwin,2018-19,0.13,4.01
Brandon Ingram,2018-19,1.21,3.91
Brandon Knight,2018-19,0.62,3.98
Brandon Sampson,2018-19,0.57,4.14
Brook Lopez,2018-19,0.93,3.55
Bruce Brown,2018-19,0.71,4.31
Bruno Caboclo,2018-19,0.84,4.09
Bryn Forbes,2018-19,0.94,3.88
Buddy Hield,2018-19,1.26,4.27
C.J. Williams,2018-19,0.31,3.83
CJ McCollum,2018-19,1.15,3.93
CJ Miles,2018-19,0.53,3.73
Caleb Swanigan,2018-19,0.29,3.99
Cam Reynolds,2018-19,0.51,4.12
Cameron Payne,2018-19,0.63,3.93
Caris LeVert,2018-19,0.91,3.88
Carmelo Anthony,2018-19,0.94,3.59
Cedi Osman,2018-19,1.04,3.86
Chandler Hutchison,2018-19,0.73,4.03
Chandler Parsons,2018-19,0.62,3.63
Channing Frye,2018-19,0.28,3.5
Chasson Randle,2018-19,0.57,4.13
Cheick Diallo,2018-19,0.5,3.99
Chimezie Metu,2018-19,0.17,4.04
Chris Boucher,2018-19,0.21,4.0
Chris Chiozza,2018-19,0.16,4.05
Chris Paul,2018-19,0.95,3.41
Christian Wood,2018-19,0.41,4.03
Clint Capela,2018-19,1.12,3.79
Cody Zeller,2018-19,0.87,3.82
Collin Sexton,2018-19,0.99,3.75
Corey Brewer,2018-19,0.58,4.14
Cory Joseph,2018-19,0.94,4.18
Courtney Lee,2018-19,0.45,3.99
Cristiano Felicio,2018-19,0.45,4.01
D'Angelo Russell,2018-19,0.99,3.73
D.J. Augustin,2018-19,0.9,3.76
D.J. Wilson,2018-19,0.68,4.18
DJ Stephens,2018-19,0.26,5.21
Dairis Bertans,2018-19,0.51,4.15
Damian Jones,2018-19,0.64,4.03
Damian Lillard,2018-19,1.08,3.54
Damion Lee,2018-19,0.44,4.14
Damyean Dotson,2018-19,0.96,3.95
Daniel Hamilton,2018-19,0.45,4.47
Daniel Theis,2018-19,0.5,3.96
Danilo Gallinari,2018-19,0.97,3.62
Danny Green,2018-19,1.06,4.22
Dante Cunningham,2018-19,0.53,4.26
Dante Exum,2018-19,0.6,4.19
Danuel House Jr.,2018-19,0.9,4.0
Dario Saric,2018-19,0.89,4.01
Darius Miller,2018-19,0.84,3.61
Darren Collison,2018-19,0.97,3.93
Daryl Macon,2018-19,0.38,3.85
David Nwaba,2018-19,0.67,4.09
Davis Bertans,2018-19,0.73,3.84
Davon Reed,2018-19,0.18,4.19
De'Aaron Fox,2018-19,1.15,3.94
De'Anthony Melton,2018-19,0.72,4.06
DeAndre Jordan,2018-19,0.91,3.57
DeAndre' Bembry,2018-19,0.86,4.01
DeMar DeRozan,2018-19,1.12,3.76
DeMarcus Cousins,2018-19,0.81,3.49
DeMarre Carroll,2018-19,0.83,3.67
DeVaughn Akoon-Purcell,2018-19,0.1,4.22
Deandre Ayton,2018-19,1.0,3.73
Delon Wright,2018-19,0.83,4.14
Demetrius Jackson,2018-19,0.24,4.29
Deng Adel,2018-19,0.35,4.07
Dennis Schroder,2018-19,1.09,3.91
Dennis Smith Jr.,2018-19,0.97,3.89
Deonte Burton,2018-19,0.27,3.94
Derrick Favors,2018-19,0.82,3.97
Derrick Jones Jr.,2018-19,0.69,4.07
Derrick Rose,2018-19,0.95,3.85
Derrick White,2018-19,0.88,3.94
Devin Booker,2018-19,1.11,3.63
Devin Harris,2018-19,0.49,3.53
Devin Robinson,2018-19,0.49,3.89
Devonte' Graham,2018-19,0.52,3.88
Dewayne Dedmon,2018-19,0.86,3.82
Deyonta Davis,2018-19,0.5,4.12
Dillon Brooks,2018-19,0.65,4.01
Dion Waiters,2018-19,0.78,3.51
Dirk Nowitzki,2018-19,0.43,3.25
Domantas Sabonis,2018-19,0.88,3.91
Donatas Motiejunas,2018-19,0.16,4.15
Donovan Mitchell,2018-19,1.08,3.6
Donte DiVincenzo,2018-19,0.57,4.07
Donte Grantham,2018-19,0.03,5.16
Dorian Finney-Smith,2018-19,0.88,4.08
Doug McDermott,2018-19,0.66,4.2
Dragan Bender,2018-19,0.6,3.77
Draymond Green,2018-19,1.01,3.46
Drew Eubanks,2018-19,0.17,3.91
Duncan Robinson,2018-19,0.39,4.16
Dusty Hannahs,2018-19,0.46,3.61
Dwayne Bacon,2018-19,0.6,3.79
Dwight Howard,2018-19,0.82,3.55
Dwight Powell,2018-19,0.75,3.89
Dwyane Wade,2018-19,0.82,3.54
Dzanan Musa,2018-19,0.14,3.89
E'Twaun Moore,2018-19,1.02,4.0
Ed Davis,2018-19,0.6,3.8
Edmond Sumner,2018-19,0.34,4.22
Ekpe Udoh,2018-19,0.22,3.84
Elfrid Payton,2018-19,1.05,3.92
Elie Okobo,2018-19,0.67,4.15
Emanuel Terry,2018-19,0.28,3.8
Emmanuel Mudiay,2018-19,0.92,3.9
Enes Freedom,2018-19,0.82,3.94
Eric Bledsoe,2018-19,1.04,3.86
Eric Gordon,2018-19,0.99,3.52
Eric Moreland,2018-19,0.3,3.96
Ersan Ilyasova,2018-19,0.65,3.87
Evan Fournier,2018-19,1.09,4.02
Evan Turner,2018-19,0.71,3.82
Frank Jackson,2018-19,0.71,4.08
Frank Kaminsky,2018-19,0.53,3.79
Frank Mason III,2018-19,0.4,3.83
Frank Ntilikina,2018-19,0.75,3.94
Fred VanVleet,2018-19,0.98,3.96
Furkan Korkmaz,2018-19,0.52,4.09
Garrett Temple,2018-19,0.96,4.06
Gary Clark,2018-19,0.44,3.94
Gary Harris,2018-19,0.99,3.93
Gary Payton II,2018-19,0.25,4.82
Gary Trent Jr.,2018-19,0.24,3.88
George Hill,2018-19,0.77,3.97
George King,2018-19,0.23,3.69
Georges Niang,2018-19,0.32,3.99
Gerald Green,2018-19,0.71,3.98
Giannis Antetokounmpo,2018-19,1.09,3.62
Glenn Robinson III,2018-19,0.48,4.3
Goran Dragic,2018-19,0.94,3.82
Gordon Hayward,2018-19,0.93,3.93
Gorgui Dieng,2018-19,0.47,3.89
Grayson Allen,2018-19,0.38,3.87
Greg Monroe,2018-19,0.38,3.87
