PLAYER_NAME,GP_x,G_x,FREQ 3 Pointers,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS 3 Pointers,Season,GP_y,G_y,FREQ Less Than 6Ft,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS Less Than 6Ft,GP,G,FREQ Less Than 10Ft,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS Less Than 10Ft
JaKarr Sampson,4,4,0.537,2.25,7.25,0.31,0.354,-0.044,2018-19,4,4,0.315,2.5,4.25,0.588,0.617,-0.029,4,4,0.389,2.75,5.25,0.524,0.56,-0.036
Jrue Holiday,67,66,0.422,2.45,6.94,0.353,0.355,-0.002,2018-19,67,66,0.334,3.67,5.49,0.668,0.598,0.071,67,67,0.408,4.04,6.7,0.604,0.556,0.048
Yante Maten,1,1,0.545,0.0,6.0,0.0,0.287,-0.287,2018-19,1,1,0.273,3.0,3.0,1.0,0.63,0.37,1,1,0.273,3.0,3.0,1.0,0.607,0.393
Draymond Green,66,66,0.389,1.94,5.79,0.335,0.353,-0.018,2018-19,66,65,0.359,3.15,5.35,0.589,0.609,-0.019,66,66,0.441,3.5,6.56,0.533,0.569,-0.035
Joel Embiid,61,61,0.258,2.2,5.75,0.382,0.35,0.032,2018-19,61,61,0.404,4.51,9.03,0.499,0.61,-0.111,61,61,0.474,5.02,10.59,0.474,0.573,-0.099
Victor Oladipo,36,36,0.462,2.06,5.67,0.363,0.354,0.009,2018-19,36,36,0.333,2.47,4.08,0.605,0.598,0.007,36,36,0.382,2.75,4.69,0.586,0.557,0.028
Kemba Walker,81,80,0.393,1.99,5.49,0.362,0.354,0.008,2018-19,81,80,0.361,3.28,5.05,0.65,0.602,0.048,81,80,0.437,3.58,6.11,0.586,0.559,0.027
Bradley Beal,81,79,0.403,2.07,5.44,0.381,0.356,0.025,2018-19,81,79,0.359,2.94,4.84,0.607,0.605,0.002,81,81,0.431,3.27,5.81,0.563,0.564,-0.001
Paul George,76,76,0.377,1.75,5.38,0.325,0.355,-0.029,2018-19,76,76,0.426,3.39,6.09,0.557,0.608,-0.051,76,76,0.481,3.63,6.87,0.529,0.567,-0.038
Kevin Durant,78,77,0.432,1.94,5.26,0.368,0.352,0.016,2018-19,78,74,0.313,2.15,3.81,0.566,0.607,-0.041,78,75,0.388,2.4,4.72,0.508,0.567,-0.059
Blake Griffin,75,73,0.422,1.92,5.23,0.367,0.351,0.016,2018-19,75,72,0.303,2.29,3.76,0.61,0.62,-0.01,75,74,0.381,2.67,4.72,0.565,0.577,-0.012
Pascal Siakam,80,80,0.378,1.56,5.2,0.3,0.349,-0.048,2018-19,80,80,0.378,2.95,5.2,0.567,0.613,-0.046,80,80,0.459,3.26,6.31,0.517,0.574,-0.057
Andrew Wiggins,73,70,0.384,1.88,5.19,0.361,0.359,0.002,2018-19,73,72,0.376,3.16,5.08,0.623,0.611,0.012,73,73,0.459,3.62,6.21,0.583,0.567,0.015
