Cut PPP rank,Cut FREQ rank,Handoff PPP rank,Handoff FREQ rank,Isolation PPP rank,Isolation FREQ rank,OffScreen PPP rank,OffScreen FREQ rank,Postup PPP rank,Postup FREQ rank,PRBallHandler PPP rank,PRBallHandler FREQ rank,PRRollman PPP rank,PRRollman FREQ rank,OffRebound PPP rank,OffRebound FREQ rank,Spotup PPP rank,Spotup FREQ rank,Transition PPP rank,Transition FREQ rank,DRIVE_PASSES_PCT rank,FG3A rank,USG_PCT rank,POTENTIAL_AST FREQ rank,Restricted Area FREQ rank,In The Paint (Non-RA) FREQ rank,Mid-Range FREQ rank,3P FREQ rank,Drives FREQ rank,PULL_UP FREQ rank,CATCH_SHOOT FREQ rank,Clusters rank
6.0,4.0,12.0,14.0,11.0,10.0,14.0,14.0,2.0,2.0,11.0,11.0,7.0,5.0,6.0,5.0,14.0,8.0,6.0,11.0,7.0,13.0,13.0,8.0,5.0,8.0,13.0,12.0,9.0,12.0,9.0,1.0
12.0,12.0,6.0,4.0,8.0,7.0,7.0,7.0,13.0,15.0,4.0,3.0,13.0,13.0,15.0,12.0,3.0,4.0,5.0,3.0,2.0,7.0,11.0,6.0,10.0,12.0,7.0,4.0,3.0,4.0,7.0,2.0
7.0,13.0,3.0,3.0,6.0,6.0,2.5,2.5,8.0,8.0,3.0,4.0,10.0,12.0,10.0,13.0,5.0,12.0,14.0,14.0,4.0,3.0,2.0,3.0,15.0,1.0,2.0,5.0,5.0,3.0,10.0,3.0
13.0,9.0,8.0,10.0,13.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,11.0,8.0,11.0,8.0,15.0,6.0,8.0,9.0,10.0,11.0,11.0,5.0,9.0,11.0,7.0,8.0,4.0
11.0,15.0,2.0,2.0,5.0,4.0,2.5,2.5,12.0,12.0,1.5,1.5,15.0,14.0,12.0,15.0,1.0,1.0,15.0,1.0,1.0,1.0,4.0,4.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
3.0,7.0,5.0,6.0,7.0,11.0,2.5,2.5,1.0,1.0,6.0,13.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,7.0,15.0,2.0,5.0,15.0,8.0,9.0,8.0,2.0,15.0,11.0,4.0,6.0
9.0,10.0,7.0,13.0,3.0,3.0,15.0,13.0,3.0,5.0,7.0,6.0,9.0,9.0,8.0,8.0,10.0,14.0,9.0,12.0,9.0,10.0,3.0,7.0,9.0,3.0,9.0,14.0,6.0,6.0,14.0,7.0
14.0,8.0,14.0,8.0,9.0,13.0,9.0,11.0,15.0,14.0,13.0,7.0,11.0,11.0,11.0,9.0,12.0,10.0,12.0,6.0,3.0,11.0,12.0,1.0,3.0,10.0,14.0,10.0,7.0,10.0,11.0,8.0
2.0,3.0,15.0,15.0,4.0,5.0,13.0,15.0,6.0,6.0,10.0,8.0,6.0,6.0,1.0,1.0,15.0,13.0,11.0,9.0,14.0,14.0,8.0,2.0,7.0,6.0,11.0,15.0,4.0,8.0,15.0,9.0
5.0,2.0,13.0,12.0,14.0,14.0,12.0,10.0,10.0,10.0,14.0,14.0,3.0,3.0,7.0,4.0,11.0,3.0,2.0,5.0,8.0,15.0,14.0,11.0,4.0,13.0,10.0,7.0,12.0,15.0,2.0,10.0
1.0,1.0,9.0,11.0,12.0,12.0,8.0,8.0,5.0,4.0,12.0,15.0,2.0,2.0,3.0,3.0,9.0,7.0,7.0,4.0,11.0,9.0,10.0,13.0,1.0,14.0,12.0,11.0,13.0,13.0,5.0,11.0
10.0,14.0,1.0,1.0,1.0,1.0,2.5,2.5,11.0,11.0,1.5,1.5,14.0,15.0,13.0,14.0,6.0,6.0,13.0,2.0,10.0,4.0,6.0,5.0,13.0,5.0,3.0,6.0,2.0,2.0,12.0,12.0
15.0,6.0,11.0,7.0,15.0,15.0,11.0,12.0,14.0,13.0,15.0,10.0,12.0,10.0,14.0,7.0,13.0,2.0,10.0,8.0,5.0,12.0,15.0,9.0,2.0,7.0,15.0,3.0,10.0,14.0,3.0,13.0
4.0,11.0,4.0,5.0,2.0,2.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,4.0,10.0,7.0,15.0,4.0,13.0,13.0,5.5,1.0,12.0,12.0,4.0,4.0,13.0,8.0,5.0,13.0,14.0
8.0,5.0,10.0,9.0,10.0,9.0,6.0,6.0,4.0,3.0,8.0,12.0,1.0,1.0,5.0,6.0,4.0,9.0,3.0,10.0,12.0,5.5,7.0,14.0,6.0,15.0,6.0,8.0,14.0,9.0,6.0,15.0
