PLAYER_NAME,Season,REB_CONTEST_PCT,AVG_REB_DIST
Aaron Gordon,2018-19,0.333,6.5
Aaron Holiday,2018-19,0.104,9.5
Abdel Nader,2018-19,0.211,8.5
Al Horford,2018-19,0.384,6.4
Al-Farouq Aminu,2018-19,0.33,5.6
Alan Williams,2018-19,0.474,6.0
Alec Burks,2018-19,0.255,5.6
Alex Abrines,2018-19,0.146,10.8
Alex Caruso,2018-19,0.269,10.2
Alex Len,2018-19,0.493,4.8
Alex Poythress,2018-19,0.342,5.4
Alfonzo McKinnie,2018-19,0.393,5.1
Alize Johnson,2018-19,0.316,3.4
Allen Crabbe,2018-19,0.236,7.7
Allonzo Trier,2018-19,0.144,8.9
Amile Jefferson,2018-19,0.571,5.7
Amir Johnson,2018-19,0.585,4.2
Andre Drummond,2018-19,0.485,4.0
Andre Iguodala,2018-19,0.29,9.1
Andre Ingram,2018-19,0.5,5.2
Andrew Bogut,2018-19,0.273,3.3
Andrew Harrison,2018-19,0.15,9.8
Andrew Wiggins,2018-19,0.327,7.7
Anfernee Simons,2018-19,0.231,7.5
Angel Delgado,2018-19,0.5,1.3
Ante Zizic,2018-19,0.456,4.6
Anthony Davis,2018-19,0.457,4.9
Anthony Tolliver,2018-19,0.226,7.1
Antonio Blakeney,2018-19,0.179,7.2
Aron Baynes,2018-19,0.496,4.7
Austin Rivers,2018-19,0.241,8.1
Avery Bradley,2018-19,0.211,9.8
BJ Johnson,2018-19,0.25,4.8
Bam Adebayo,2018-19,0.419,5.7
Ben McLemore,2018-19,0.176,9.2
Ben Simmons,2018-19,0.283,7.4
Billy Garrett,2018-19,0.0,6.4
Bismack Biyombo,2018-19,0.445,5.3
Blake Griffin,2018-19,0.368,5.7
Boban Marjanovic,2018-19,0.555,4.0
Bobby Portis,2018-19,0.404,5.5
Bogdan Bogdanovic,2018-19,0.267,8.2
Bojan Bogdanovic,2018-19,0.198,7.3
Bonzie Colson,2018-19,0.367,5.3
Brad Wanamaker,2018-19,0.22,8.4
Bradley Beal,2018-19,0.276,8.6
Brandon Goodwin,2018-19,0.333,8.3
Brandon Ingram,2018-19,0.281,7.3
Brandon Knight,2018-19,0.254,8.0
Brandon Sampson,2018-19,0.125,9.2
Brook Lopez,2018-19,0.424,7.0
Bruce Brown,2018-19,0.227,6.8
Bruno Caboclo,2018-19,0.354,6.6
Bryn Forbes,2018-19,0.151,8.5
Buddy Hield,2018-19,0.209,8.4
C.J. Williams,2018-19,0.0,9.2
CJ McCollum,2018-19,0.17,9.5
CJ Miles,2018-19,0.274,9.3
Caleb Swanigan,2018-19,0.453,4.8
Cam Reynolds,2018-19,0.226,9.6
Cameron Payne,2018-19,0.069,9.8
Caris LeVert,2018-19,0.252,8.2
Carmelo Anthony,2018-19,0.389,5.6
Cedi Osman,2018-19,0.171,7.4
Chandler Hutchison,2018-19,0.238,6.6
Chandler Parsons,2018-19,0.071,7.5
Channing Frye,2018-19,0.269,6.9
Chasson Randle,2018-19,0.167,9.8
Cheick Diallo,2018-19,0.367,4.9
Chimezie Metu,2018-19,0.306,5.6
Chris Boucher,2018-19,0.429,5.1
Chris Chiozza,2018-19,0.0,11.2
Chris Paul,2018-19,0.204,8.8
Christian Wood,2018-19,0.41,4.2
Clint Capela,2018-19,0.443,5.3
Cody Zeller,2018-19,0.429,5.3
Collin Sexton,2018-19,0.233,10.0
Corey Brewer,2018-19,0.289,7.5
Cory Joseph,2018-19,0.179,9.1
Courtney Lee,2018-19,0.204,9.3
Cristiano Felicio,2018-19,0.44,4.2
D'Angelo Russell,2018-19,0.168,8.6
D.J. Augustin,2018-19,0.129,11.4
D.J. Wilson,2018-19,0.306,5.1
DJ Stephens,2018-19,0.0,0.0
Dairis Bertans,2018-19,0.222,17.2
Damian Jones,2018-19,0.32,6.4
Damian Lillard,2018-19,0.181,9.3
Damion Lee,2018-19,0.156,7.8
Damyean Dotson,2018-19,0.17,9.0
Daniel Hamilton,2018-19,0.319,5.0
Daniel Theis,2018-19,0.489,5.7
Danilo Gallinari,2018-19,0.223,5.8
Danny Green,2018-19,0.271,7.4
Dante Cunningham,2018-19,0.287,6.6
Dante Exum,2018-19,0.212,9.4
Danuel House Jr.,2018-19,0.229,8.2
Dario Saric,2018-19,0.422,5.9
Darius Miller,2018-19,0.258,11.0
Darren Collison,2018-19,0.086,11.0
Daryl Macon,2018-19,0.167,8.0
David Nwaba,2018-19,0.319,6.9
Davis Bertans,2018-19,0.246,6.6
Davon Reed,2018-19,0.5,6.1
De'Aaron Fox,2018-19,0.174,9.2
De'Anthony Melton,2018-19,0.336,6.9
DeAndre Jordan,2018-19,0.356,4.6
DeAndre' Bembry,2018-19,0.257,8.0
DeMar DeRozan,2018-19,0.19,7.4
DeMarcus Cousins,2018-19,0.34,4.5
DeMarre Carroll,2018-19,0.218,6.9
DeVaughn Akoon-Purcell,2018-19,0.0,15.4
Deandre Ayton,2018-19,0.438,4.8
Delon Wright,2018-19,0.248,7.6
Demetrius Jackson,2018-19,0.0,8.9
Deng Adel,2018-19,0.211,8.9
Dennis Schroder,2018-19,0.089,10.3
Dennis Smith Jr.,2018-19,0.213,8.6
Deonte Burton,2018-19,0.393,7.9
Derrick Favors,2018-19,0.489,4.6
Derrick Jones Jr.,2018-19,0.429,6.7
Derrick Rose,2018-19,0.164,10.2
Derrick White,2018-19,0.166,7.4
Devin Booker,2018-19,0.166,9.2
Devin Harris,2018-19,0.188,9.9
Devin Robinson,2018-19,0.4,5.5
Devonte' Graham,2018-19,0.27,8.6
Dewayne Dedmon,2018-19,0.406,5.2
Deyonta Davis,2018-19,0.444,5.5
Dillon Brooks,2018-19,0.323,5.8
Dion Waiters,2018-19,0.164,10.0
Dirk Nowitzki,2018-19,0.304,4.7
Domantas Sabonis,2018-19,0.419,4.1
Donatas Motiejunas,2018-19,0.333,5.9
Donovan Mitchell,2018-19,0.229,9.2
Donte DiVincenzo,2018-19,0.292,7.7
Donte Grantham,2018-19,0.0,0.0
Dorian Finney-Smith,2018-19,0.422,6.1
Doug McDermott,2018-19,0.312,8.4
Dragan Bender,2018-19,0.377,4.6
Draymond Green,2018-19,0.356,5.4
Drew Eubanks,2018-19,0.441,4.1
Duncan Robinson,2018-19,0.158,9.0
Dusty Hannahs,2018-19,0.0,6.2
Dwayne Bacon,2018-19,0.292,7.6
Dwight Howard,2018-19,0.41,3.7
Dwight Powell,2018-19,0.343,6.5
Dwyane Wade,2018-19,0.239,7.7
Dzanan Musa,2018-19,0.6,6.3
E'Twaun Moore,2018-19,0.307,10.9
Ed Davis,2018-19,0.422,4.6
Edmond Sumner,2018-19,0.375,8.5
Ekpe Udoh,2018-19,0.411,5.1
Elfrid Payton,2018-19,0.205,8.5
Elie Okobo,2018-19,0.143,10.3
Emanuel Terry,2018-19,0.714,4.2
Emmanuel Mudiay,2018-19,0.175,9.7
Enes Freedom,2018-19,0.513,4.1
Eric Bledsoe,2018-19,0.229,9.3
Eric Gordon,2018-19,0.169,10.2
Eric Moreland,2018-19,0.35,4.3
Ersan Ilyasova,2018-19,0.437,5.4
Evan Fournier,2018-19,0.226,9.3
Evan Turner,2018-19,0.189,5.9
Frank Jackson,2018-19,0.231,8.0
Frank Kaminsky,2018-19,0.429,5.2
Frank Mason III,2018-19,0.163,9.3
